STRUCTURE,STRUCTURE_ID,STRUCTURE_NAME,ACTION,REF_AREA,,FREQ,,MEASURE,,UNIT_MEASURE,,EXPEND_SOURCE,,SPENDING_TYPE,,PROGRAMME_TYPE,,PRICE_BASE,,TIME_PERIOD,,OBS_VALUE,,OBS_STATUS,,UNIT_MULT,,DECIMALS,,CURRENCY,,BASE_PER,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2010,,1.245,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2011,,1.257,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2012,,1.329,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2013,,1.593,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2014,,1.562,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2015,,1.443,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2016,,1.302,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2017,,1.083,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2018,,0.927,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2000,,1.371,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2001,,1.347,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2002,,1.115,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2003,,1.334,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2004,,1.477,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NLD,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2005,,1.436,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2019,,0.079,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2020,,0.116,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2000,,0.072,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2001,,0.12,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2002,,0.106,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2003,,0.123,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2004,,0.159,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2005,,0.183,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2006,,0.206,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2007,,0.223,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2008,,0.248,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2009,,0.342,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2010,,0.279,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2011,,0.256,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2012,,0.255,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2013,,0.259,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2014,,0.266,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2015,,0.274,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2016,,0.281,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2017,,0.287,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2018,,0.355,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2019,,0.444,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,KOR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2020,,0.78,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2006,,0.216,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2007,,0.201,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2008,,0.283,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2009,,0.438,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2010,,0.366,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2011,,0.386,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2012,,0.381,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2013,,0.307,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2014,,0.21,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2015,,0.169,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2016,,0.155,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2017,,0.147,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2018,,0.132,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2000,,0.287,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2001,,0.446,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2002,,0.251,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2003,,0.23,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2004,,0.221,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,GBR,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2005,,0.226,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2019,,0.676,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2006,,0.789,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2007,,0.6,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2008,,0.533,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2009,,0.929,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2010,,0.922,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2011,,0.641,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2012,,0.67,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2013,,0.749,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2014,,0.742,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2015,,0.781,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2016,,0.842,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2017,,0.815,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2018,,0.705,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2000,,0.492,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2001,,0.434,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2002,,0.697,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2003,,1.006,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2004,,1.007,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,CHE,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2005,,0.913,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2019,,0.435,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2020,,0.64,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2021,,0.504,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2006,,0.367,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2007,,0.254,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2008,,0.316,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2009,,0.487,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2010,,0.473,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2011,,0.518,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2012,,0.394,,A,,0,,1,,_Z,,,
DATAFLOW,OECD.ELS.SPD:DSD_SOCX_AGG@DF_SOCX_AGG(1.0),,I,NZL,,A,,SOCX,,PT_B1GQ,,ES10,,_T,,TP71,,_Z,,2013,,0.432,,A,,0,,1,,_Z,,,
